r	mu	stdev	T	lambda	t1	c1	t2	c2	t3	c3	b3	b2	b1	V_M	n_S	b_S	V_S	DP_Time	mean_M	var_M	semivar_MD	semivar_MU	mean_S	var_S	semivar_SD	semivar_SU	TotalTime
2	1	0.05	0.9	0.02	0	1	0.45	1.02	0.9	1.04	-0.0008392333984	-0.05973815918	-0.08110046387	0.983668263	1	0	0.960105772	1.313881061	0.9839507738	0.002692167304	0.001446809687	0.001245357617	0.9596820657	0.003503278311	0.002604205915	0.0008990723964	6.522169841
2	1	0.05	0.9	0.04	0	1	0.45	1.04	0.9	1.08	-0.001602172852	-0.05058288574	-0.06568908691	0.981220925	1	0	0.960105772	1.316769912	0.9814426619	0.002725861521	0.001526760433	0.001199101088	0.9596366397	0.003506134435	0.00260548576	0.0009006486748	6.569151008
2	1	0.05	0.9	0.06	0	1	0.45	1.06	0.9	1.12	-0.002365112305	-0.04508972168	-0.0562286377	0.9791650694	1	0	0.960105772	1.328732361	0.9793667634	0.002747597057	0.001595253834	0.001152343223	0.9596773804	0.003499585708	0.002600582899	0.0008990028083	6.833685674
2	1	0.05	0.9	0.08	0	1	0.45	1.08	0.9	1.16	-0.003128051758	-0.04112243652	-0.04905700684	0.9773707363	1	0	0.960105772	1.35248244	0.9775679175	0.002786864148	0.001671589024	0.001115275123	0.9596609729	0.003502216884	0.002602643661	0.0008995732232	6.544591432
2	1	0.05	0.9	0.1	0	1	0.45	1.1	0.9	1.2	-0.004043579102	-0.0382232666	-0.04356384277	0.9757729817	1	0	0.960105772	1.385929347	0.9759336195	0.00281458825	0.001738038405	0.001076549845	0.959647472	0.003505073492	0.002604914275	0.0009001592166	6.601636848
2	1	0.05	0.9	0.12	0	1	0.45	1.12	0.9	1.24	-0.004806518555	-0.03578186035	-0.03883361816	0.9743315995	1	0	0.960105772	1.341640185	0.974429392	0.00284800122	0.001804921066	0.001043080154	0.959616037	0.003506003607	0.002604840228	0.0009011633793	6.695361734
2	1	0.05	0.9	0.14	0	1	0.45	1.14	0.9	1.28	-0.005722045898	-0.03395080566	-0.03486633301	0.973019516	1	0	0.960105772	1.444324433	0.9731207136	0.002879086532	0.001867162357	0.001011924176	0.9596119046	0.003506545996	0.002605048818	0.0009014971776	6.658111856
2	1	0.05	0.9	0.16	0	1	0.45	1.16	0.9	1.32	-0.006484985352	-0.03227233887	-0.03135681152	0.971817146	1	0	0.960105772	1.409403074	0.9719483263	0.002906454211	0.001923829265	0.000982624946	0.9596756781	0.003498124896	0.002599258615	0.0008988662809	6.68654563
2	1	0.05	0.9	0.18	0	1	0.45	1.18	0.9	1.36	-0.007400512695	-0.03105163574	-0.02830505371	0.9707095514	1	0	0.960105772	1.40413472	0.9707930773	0.002939195145	0.001983102837	0.0009560923083	0.9596512923	0.00350360196	0.002603642177	0.0008999597829	6.639350995
2	1	0.05	0.9	0.2	0	1	0.45	1.2	0.9	1.4	-0.008316040039	-0.02983093262	-0.02555847168	0.9696852472	1	0	0.960105772	1.597087338	0.9697586655	0.002970461536	0.002036455999	0.0009340055368	0.959649859	0.003503454868	0.00260343282	0.0009000220476	6.957124723
2	1	0.1	0.1	0.02	0	1	0.05	1.02	0.1	1.04	-0.004806518555	-0.02403259277	-0.0301361084	0.9225351277	1	0	0.9202115439	1.256469525	0.9225007173	0.01350336975	0.009752588809	0.003750780939	0.9195657378	0.01383019831	0.01025547381	0.0035747245	6.484300999
2	1	0.1	0.1	0.04	0	1	0.05	1.04	0.1	1.08	-0.009536743164	-0.01960754395	-0.01991271973	0.9217657611	1	0	0.9202115439	1.235488741	0.9216762576	0.01355448664	0.009866541086	0.003687945557	0.9195705057	0.01383051311	0.01025613159	0.003574381522	6.458557542
