r	mu	stdev	T	lambda	t1	c1	t2	c2	t3	c3	b3	b2	b1	V_M	n_S	b_S	V_S	DP_Time	mean_M	var_M	semivar_MD	semivar_MU	mean_S	var_S	semivar_SD	semivar_SU	TotalTime
2	1	0.1	0.5	0.16	0	1	0.25	1.16	0.5	1.32	-0.02908706665	-0.03995895386	-0.02908706665	2.532733373	1	0	2.514295356	2.355598975	2.532564541	0.08110827493	0.05568712715	0.02542114774	2.51235959	0.08678100121	0.06344628426	0.02333471698	7.679020234
2	1	0.1	0.5	0.18	0	1	0.25	1.18	0.5	1.36	-0.03309249878	-0.03938674927	-0.02546310425	2.530206403	1	0	2.514295356	2.360389736	2.529577092	0.08147742622	0.0565167778	0.02496064839	2.512034485	0.08691950152	0.06352340112	0.02339610043	7.683288216
2	1	0.1	0.5	0.2	0	1	0.25	1.2	0.5	1.4	-0.03709793091	-0.0391960144	-0.02222061157	2.527976504	1	0	2.514295356	2.374190816	2.527466895	0.0816929735	0.05717039522	0.0245225783	2.51224894	0.08678000026	0.06342925618	0.02335074411	7.934059883
2	1	0.1	0.6	0.02	0	1	0.3	1.02	0.6	1.04	-0.003147125244	-0.08382797241	-0.1141548157	2.580600208	1	0	2.514295356	2.253768355	2.581256313	0.07846380814	0.04389339518	0.03457041295	2.512068591	0.08694712824	0.06356445932	0.02338266895	7.585606339
2	1	0.1	0.6	0.04	0	1	0.3	1.04	0.6	1.08	-0.00638961792	-0.06914138794	-0.08916854858	2.571743524	1	0	2.514295356	2.293666428	2.572190193	0.07832005094	0.04547697524	0.03284307572	2.512022786	0.08698806689	0.06358682715	0.02340123976	7.623926648
2	1	0.1	0.6	0.06	0	1	0.3	1.06	0.6	1.12	-0.009632110596	-0.06093978882	-0.07390975952	2.564531867	1	0	2.514295356	2.304146616	2.564709613	0.07827005038	0.04699735598	0.03127269441	2.511954469	0.08698575447	0.06357840121	0.02340735328	7.868452848
2	1	0.1	0.6	0.08	0	1	0.3	1.08	0.6	1.16	-0.01268386841	-0.05540847778	-0.06284713745	2.558422934	1	0	2.514295356	2.317725001	2.558656858	0.07845202142	0.04853034355	0.0299216779	2.512181482	0.08689124886	0.0635268248	0.02336442408	7.64611767
2	1	0.1	0.6	0.1	0	1	0.3	1.1	0.6	1.2	-0.01611709595	-0.05159378052	-0.05407333374	2.553137436	1	0	2.514295356	2.327591764	2.553147238	0.07869618054	0.05001899441	0.02867718612	2.512120665	0.08696122805	0.06358232256	0.02337890551	7.651763805
2	1	0.1	0.6	0.12	0	1	0.3	1.12	0.6	1.24	-0.01935958862	-0.04873275757	-0.04720687866	2.548507481	1	0	2.514295356	2.347942152	2.548403507	0.07881533997	0.05117702419	0.02763831574	2.51211527	0.08683350873	0.06346161516	0.02337189359	7.928212344
2	1	0.1	0.6	0.14	0	1	0.3	1.14	0.6	1.28	-0.0226020813	-0.04663467407	-0.0412940979	2.544415642	1	0	2.514295356	2.353912121	2.544031307	0.0793020393	0.05245797945	0.02684405991	2.511975911	0.08695016585	0.06355213458	0.02339803129	7.704774647
2	1	0.1	0.6	0.16	0	1	0.3	1.16	0.6	1.32	-0.02603530884	-0.04510879517	-0.03633499146	2.540777748	1	0	2.514295356	2.362453225	2.540428218	0.079685867	0.05354832729	0.02613753972	2.512072348	0.08696110314	0.06357587826	0.02338522491	7.716203984
2	1	0.1	0.6	0.18	0	1	0.3	1.18	0.6	1.36	-0.02965927124	-0.04396438599	-0.03213882446	2.537529661	1	0	2.514295356	2.659609322	2.537149213	0.07991344202	0.05442530941	0.02548813257	2.512108979	0.08691167776	0.06353499866	0.02337667913	8.047000051
2	1	0.1	0.6	0.2	0	1	0.3	1.2	0.6	1.4	-0.03309249878	-0.04320144653	-0.0283241272	2.534621005	1	0	2.514295356	2.373584105	2.533967678	0.08038427456	0.05535892323	0.02502535135	2.512003627	0.08694407336	0.06355174035	0.02339233303	7.700730252
2	1	0.1	0.7	0.02	0	1	0.35	1.02	0.7	1.04	-0.002765655518	-0.09450912476	-0.129032135	2.597594362	1	0	2.514295356	2.255487815	2.598205368	0.07717213057	0.04120310374	0.03596902684	2.512011912	0.08703046996	0.06363336926	0.02339710073	7.583913661
